CreditScore,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,Geography_Germany,Geography_Spain,Gender_Male,Balance_to_Salary_Ratio,Credit_to_Salary_Ratio,Age_to_Tenure_Ratio,Products_per_Tenure,IsHighValueCustomer,IsLongTermCustomer,HasMultipleProducts,IsYoungInactive,IsOldInactive,CustomerSegment,SegmentName,ChurnProbability,RiskLevel,RiskLevelNumeric
653,58,1,132602.88,1,1,0,5097.67,1,True,False,True,26.00734701402523,0.1280726150152883,29.0,0.5,0,0,0,0,0,3,At-Risk Seniors,0.9837175037753535,Very High Risk,3
549,24,9,0.0,2,1,1,14406.41,0,False,True,False,0.0,0.038105391600572205,2.4,0.2,0,1,1,0,0,1,Established Savers,0.005575664958216659,Low Risk,0
587,45,6,0.0,1,0,0,158684.81,0,False,True,True,0.0,0.00369913352680999,6.428571428571429,0.14285714285714285,0,1,0,0,0,2,High-Value Clients,0.39638548313928235,Medium Risk,1
726,24,6,0.0,2,1,1,54724.03,0,False,False,False,0.0,0.013266324385751822,3.4285714285714284,0.2857142857142857,0,1,1,0,0,1,Established Savers,0.007156052256534922,Low Risk,0
732,41,8,0.0,2,1,1,170886.17,0,False,False,True,0.0,0.004283528131456563,4.555555555555555,0.2222222222222222,0,1,1,0,0,1,Established Savers,0.05299293862986741,Low Risk,0
636,32,8,0.0,2,1,0,138555.46,0,False,True,False,0.0,0.004590186556440602,3.5555555555555554,0.2222222222222222,0,1,1,0,0,1,Established Savers,0.0893147347733716,Low Risk,0
510,38,4,0.0,1,1,0,118913.53,1,False,True,False,0.0,0.004288794649400708,7.6,0.2,0,0,0,0,0,2,High-Value Clients,0.5641382349049187,High Risk,2
669,46,3,0.0,2,0,1,8487.75,0,False,False,True,0.0,0.07881018995729643,11.5,0.5,0,0,1,0,0,1,Established Savers,0.02285231239829095,Low Risk,0
846,38,5,0.0,1,1,1,187616.16,0,False,False,False,0.0,0.004509182422332797,6.333333333333333,0.16666666666666666,0,0,0,0,0,0,Young Professionals,0.07838113313137991,Low Risk,0
577,25,3,0.0,2,0,1,124508.29,0,False,False,True,0.0,0.00463419235624908,6.25,0.5,0,0,1,0,0,1,Established Savers,0.0032056600492770125,Low Risk,0
756,36,2,136815.64,1,1,1,170041.95,0,True,False,True,0.8045946038927224,0.004445935570983684,12.0,0.3333333333333333,1,0,0,0,0,0,Young Professionals,0.11632421475955841,Low Risk,0
571,44,9,0.0,2,0,0,38433.35,0,False,False,True,0.0,0.014856502061307139,4.4,0.2,0,1,1,0,0,1,Established Savers,0.036722013240468955,Low Risk,0
574,43,3,141349.43,1,1,1,100187.43,0,True,False,False,1.4108358619852612,0.0057292044600359545,10.75,0.25,0,0,0,0,0,0,Young Professionals,0.21412015310373753,Low Risk,0
411,29,0,59697.17,2,1,1,53483.21,0,False,False,True,1.116164378234249,0.0076845109986667095,29.0,2.0,0,0,1,0,0,1,Established Savers,0.0041619733444822875,Low Risk,0
591,39,3,0.0,3,1,0,140469.38,1,False,True,False,0.0,0.004207292669102198,9.75,0.75,0,0,1,0,0,1,Established Savers,0.7632879849235427,Very High Risk,3
533,36,7,85311.7,1,0,1,156731.91,0,False,False,True,0.5443126143705237,0.003400689746652442,4.5,0.125,0,1,0,0,0,0,Young Professionals,0.03302044465572733,Low Risk,0
553,41,9,110112.54,2,0,0,81898.81,0,True,False,True,1.3444785769344276,0.0067521524164708075,4.1,0.2,0,1,1,0,0,2,High-Value Clients,0.14700262005096976,Low Risk,0
520,42,6,0.0,2,1,1,34410.55,0,False,True,False,0.0,0.015111205394700325,6.0,0.2857142857142857,0,1,1,0,0,1,Established Savers,0.013762116049295899,Low Risk,0
722,29,9,0.0,2,1,1,142033.07,0,False,True,False,0.0,0.005083287411252807,2.9,0.2,0,1,1,0,0,1,Established Savers,0.008160260973138428,Low Risk,0
475,45,0,134264.04,1,1,0,27822.99,1,False,False,False,4.825477582474692,0.01707159900503127,45.0,1.0,0,0,0,0,0,2,High-Value Clients,0.9197687874483746,Very High Risk,3
490,31,3,145260.23,1,0,1,114066.77,0,False,True,True,1.2734555080720873,0.004295691938222339,7.75,0.25,1,0,0,0,0,0,Young Professionals,0.015722200669605984,Low Risk,0
804,33,7,76548.6,1,0,1,98453.45,0,False,True,True,0.7775026928696469,0.008166212903530517,4.125,0.125,0,1,0,0,0,0,Young Professionals,0.01799640360975475,Low Risk,0
850,36,7,0.0,1,1,1,40812.9,0,False,False,True,0.0,0.020826238119856226,4.5,0.125,0,1,0,0,0,0,Young Professionals,0.04031049069432726,Low Risk,0
582,41,6,70349.48,2,0,1,178074.04,0,True,False,True,0.3950552531112726,0.0032682851004834815,5.857142857142857,0.2857142857142857,0,1,1,0,0,0,Young Professionals,0.028020138389853243,Low Risk,0
472,40,4,0.0,1,1,0,70154.22,0,False,True,True,0.0,0.006727938419977872,8.0,0.2,0,0,0,0,0,2,High-Value Clients,0.37233451810789425,Medium Risk,1
465,51,8,122522.32,1,0,0,181297.65,1,False,False,False,0.6758038187267252,0.002564828805950844,5.666666666666667,0.1111111111111111,1,1,0,0,0,2,High-Value Clients,0.6653928554021238,High Risk,2
556,61,2,117419.35,1,1,1,94153.83,0,False,False,False,1.2470879082889321,0.005905167053033816,20.333333333333332,0.3333333333333333,0,0,0,0,0,3,At-Risk Seniors,0.12428081267808005,Low Risk,0
834,49,2,131394.56,1,0,0,194365.76,1,False,False,False,0.6760135323550178,0.004290857140387585,16.333333333333332,0.3333333333333333,1,0,0,0,0,2,High-Value Clients,0.3965070454137258,Medium Risk,1
660,61,5,155931.11,1,1,1,158338.39,0,False,True,False,0.9847903923338341,0.004168261605656053,10.166666666666666,0.16666666666666666,1,0,0,0,0,3,At-Risk Seniors,0.3243464596513953,Medium Risk,1
776,32,4,109421.13,2,1,1,126517.46,0,True,False,False,0.8648629614998475,0.006133492298278053,6.4,0.4,1,0,1,0,0,0,Young Professionals,0.0569255343403578,Low Risk,0
829,27,9,112045.67,1,1,1,119708.21,1,True,False,False,0.9359820351333034,0.006925114617329777,2.7,0.1,1,1,0,0,0,0,Young Professionals,0.7460607095913306,High Risk,2
637,39,9,137843.8,1,1,1,117622.8,1,True,False,False,1.171903985417917,0.00541557065831915,3.9,0.1,1,1,0,0,0,0,Young Professionals,0.7816042499660216,Very High Risk,3
550,38,2,103391.38,1,0,1,90878.13,0,True,False,True,1.137680125238875,0.006051994555845769,12.666666666666666,0.3333333333333333,0,0,0,0,0,0,Young Professionals,0.06882910511193485,Low Risk,0
776,37,2,103769.22,2,1,0,194099.12,0,True,False,False,0.5346169801440618,0.003997936734918041,12.333333333333334,0.6666666666666666,1,0,1,0,0,2,High-Value Clients,0.015860143260136975,Low Risk,0
698,44,10,116363.37,2,1,0,198059.16,0,True,False,True,0.5875152781861834,0.003524181743567207,4.0,0.18181818181818182,1,1,1,0,0,2,High-Value Clients,0.04422380714884475,Low Risk,0
585,36,5,146050.97,2,0,0,86424.57,0,True,False,True,1.6899046196629075,0.006768830104331392,6.0,0.3333333333333333,0,0,1,0,0,2,High-Value Clients,0.01903359901525291,Low Risk,0
788,33,5,0.0,2,0,0,116978.19,0,False,False,False,0.0,0.006736240864721323,5.5,0.3333333333333333,0,0,1,0,0,1,Established Savers,0.014003658516986582,Low Risk,0
655,41,8,125561.97,1,0,0,164040.94,1,True,False,True,0.76542602458859,0.003992881332664074,4.555555555555555,0.1111111111111111,1,1,0,0,0,2,High-Value Clients,0.8557440653444962,Very High Risk,3
601,42,1,98495.72,1,1,0,40014.76,1,True,False,True,2.4614231992594915,0.015019082481502287,21.0,0.5,0,0,0,0,0,2,High-Value Clients,0.6127417068564573,High Risk,2
619,43,1,125211.92,1,1,1,113410.49,0,False,False,True,1.1040496866763676,0.00545800077223216,21.5,0.5,1,0,0,0,0,0,Young Professionals,0.07234014288722425,Low Risk,0
656,45,5,127864.4,1,1,0,87107.57,0,False,False,True,1.4678739416799058,0.007530831926181316,7.5,0.16666666666666666,0,0,0,0,0,2,High-Value Clients,0.23886926284125204,Low Risk,0
725,19,0,75888.2,1,0,0,45613.75,0,True,False,True,1.6636767712198357,0.015893981661633572,19.0,1.0,0,0,0,1,0,2,High-Value Clients,0.024514090265671837,Low Risk,0
511,66,4,0.0,1,1,0,1643.11,1,False,True,False,0.0,0.3108064545559604,13.2,0.2,0,0,0,0,1,3,At-Risk Seniors,0.9885449754054283,Very High Risk,3
614,51,4,40685.92,1,1,1,46775.28,0,False,False,True,0.8697981113504537,0.01312631102772602,10.2,0.2,0,0,0,0,0,3,At-Risk Seniors,0.24124570053917296,Low Risk,0
742,35,5,136857.0,1,0,0,84509.57,0,True,False,True,1.6194068978590488,0.008779966813618699,5.833333333333333,0.16666666666666666,0,0,0,0,0,2,High-Value Clients,0.25549496582282594,Medium Risk,1
687,27,9,152328.88,2,0,0,126494.82,0,True,False,False,1.2042206612044573,0.005431009498970006,2.7,0.2,1,1,1,1,0,2,High-Value Clients,0.008070713472946068,Low Risk,0
555,33,1,56084.69,2,0,0,178798.13,0,False,True,True,0.3136742891310489,0.003104041949197404,16.5,1.0,0,0,1,0,0,1,Established Savers,0.011906994740121824,Low Risk,0
684,56,8,78707.16,1,1,1,99398.36,0,False,True,True,0.7918276334978415,0.006881332032721337,6.222222222222222,0.1111111111111111,0,1,0,0,0,3,At-Risk Seniors,0.07459101264580831,Low Risk,0
603,26,4,109166.37,1,1,1,92840.67,0,True,False,True,1.1758337608532892,0.006494928408763005,5.2,0.2,0,0,0,0,0,0,Young Professionals,0.07658821906263705,Low Risk,0
751,36,6,169831.46,2,1,1,27758.36,0,True,False,False,6.117989031447411,0.027053937842947386,5.142857142857143,0.2857142857142857,0,1,1,0,0,0,Young Professionals,0.01227848120682289,Low Risk,0
581,34,1,101633.04,1,1,0,110431.51,0,True,False,False,0.9203181200898177,0.005261131889513333,17.0,0.5,1,0,0,0,0,2,High-Value Clients,0.09736988515431673,Low Risk,0
735,43,10,123180.01,2,1,1,196673.28,0,True,False,True,0.6263147880851527,0.003737143463802181,3.909090909090909,0.18181818181818182,1,1,1,0,0,0,Young Professionals,0.021040084936568212,Low Risk,0
661,35,5,150725.53,2,0,1,113656.85,0,True,False,False,1.3261339185986714,0.005815700367374536,5.833333333333333,0.3333333333333333,1,0,1,0,0,0,Young Professionals,0.00624705697699392,Low Risk,0
675,21,8,98373.26,1,1,0,18203.0,0,False,False,False,5.403936497473082,0.037079762689518785,2.3333333333333335,0.1111111111111111,0,1,0,1,0,2,High-Value Clients,0.028938685222317698,Low Risk,0
738,58,2,133745.44,4,1,0,28373.86,1,True,False,True,4.713518938948069,0.026008938898729368,19.333333333333332,1.3333333333333333,0,0,1,0,0,1,Established Savers,0.9991028978066189,Very High Risk,3
813,29,6,0.0,1,1,0,33953.87,0,False,False,True,0.0,0.023943546242409408,4.142857142857143,0.14285714285714285,0,1,0,1,0,2,High-Value Clients,0.12494535448196004,Low Risk,0
657,37,0,163607.18,1,0,1,44203.55,0,False,True,False,3.701138909908595,0.014862723407432039,37.0,1.0,0,0,0,0,0,0,Young Professionals,0.027699946113364547,Low Risk,0
604,25,5,157780.84,2,1,1,58426.81,0,True,False,False,2.7004407661351677,0.010337543029594982,4.166666666666667,0.3333333333333333,0,0,1,0,0,0,Young Professionals,0.010445094687328583,Low Risk,0
519,36,9,0.0,2,0,1,145562.4,0,False,False,True,0.0,0.003565456701341134,3.6,0.2,0,1,1,0,0,1,Established Savers,0.006026488165044656,Low Risk,0
735,21,1,178718.19,2,1,0,22388.0,0,False,False,False,7.982410558756532,0.03282862119790969,10.5,1.0,0,0,1,1,0,2,High-Value Clients,0.006604243987248729,Low Risk,0
664,55,8,0.0,2,1,1,139161.64,0,False,False,True,0.0,0.004771395541217097,6.111111111111111,0.2222222222222222,0,1,1,0,0,3,At-Risk Seniors,0.026121398342093836,Low Risk,0
678,32,9,0.0,1,1,1,148210.64,0,False,False,False,0.0,0.004574539489610937,3.2,0.1,0,1,0,0,0,0,Young Professionals,0.05288950524117616,Low Risk,0
757,33,5,77253.22,1,0,1,194239.63,0,False,True,True,0.39771915896277726,0.003897227886874131,5.5,0.16666666666666666,0,0,0,0,0,0,Young Professionals,0.0879024318321509,Low Risk,0
416,41,10,122189.66,2,1,0,98301.61,0,True,False,False,1.2429950740880633,0.004231830670620038,3.727272727272727,0.18181818181818182,0,1,1,0,0,2,High-Value Clients,0.06510205524506614,Low Risk,0
665,34,1,96645.54,2,0,0,171413.66,0,False,False,False,0.5638114032953774,0.0038794814865893033,17.0,1.0,0,0,1,0,0,2,High-Value Clients,0.013786063517189036,Low Risk,0
777,32,2,0.0,1,1,0,136458.19,1,False,False,False,0.0,0.005694010055313973,10.666666666666666,0.3333333333333333,0,0,0,0,0,2,High-Value Clients,0.5786656622595895,High Risk,2
543,36,3,0.0,2,0,0,26019.59,0,False,False,False,0.0,0.02086808946299834,9.0,0.5,0,0,1,0,0,1,Established Savers,0.010464893526733793,Low Risk,0
506,34,4,90307.62,1,1,1,159235.29,0,False,False,False,0.567129641113844,0.003177667603283146,6.8,0.2,0,0,0,0,0,0,Young Professionals,0.07298204211001161,Low Risk,0
493,46,4,0.0,2,1,0,1907.66,0,False,False,False,0.0,0.2582963964247168,9.2,0.4,0,0,1,0,0,1,Established Savers,0.04324591345683446,Low Risk,0
652,75,10,0.0,2,1,1,114675.75,0,False,True,False,0.0,0.005685546547142294,6.818181818181818,0.18181818181818182,0,1,1,0,0,3,At-Risk Seniors,0.007730550413572413,Low Risk,0
750,22,3,121681.82,1,1,0,128643.35,1,False,True,True,0.9458776852617313,0.0058300267365026135,5.5,0.25,1,0,0,1,0,2,High-Value Clients,0.8310715213345506,Very High Risk,3
729,30,9,0.0,2,1,0,151869.35,0,False,False,True,0.0,0.004800146967462707,3.0,0.2,0,1,1,0,0,1,Established Savers,0.0046736062639444,Low Risk,0
646,46,4,0.0,3,1,0,93251.42,1,False,False,False,0.0,0.006927434162030326,9.2,0.6,0,0,1,0,0,1,Established Savers,0.9825933593099933,Very High Risk,3
635,28,3,81623.67,2,1,1,156791.36,0,True,False,False,0.520584485111392,0.004049942229328011,7.0,0.5,0,0,1,0,0,0,Young Professionals,0.005444318739433679,Low Risk,0
647,44,5,0.0,3,1,1,174205.22,1,False,True,False,0.0,0.003713989087186439,7.333333333333333,0.5,0,0,1,0,0,1,Established Savers,0.9754829259690689,Very High Risk,3
808,45,7,118626.55,2,1,0,147132.46,0,False,False,True,0.8062513448674422,0.005491612852712089,5.625,0.25,1,1,1,0,0,2,High-Value Clients,0.0428748968187252,Low Risk,0
524,36,10,0.0,2,1,0,109614.57,0,False,False,False,0.0,0.004780342792543067,3.272727272727273,0.18181818181818182,0,1,1,0,0,1,Established Savers,0.01314193910126364,Low Risk,0
769,29,8,0.0,2,1,1,172290.61,0,False,False,True,0.0,0.004463363015761476,3.2222222222222223,0.2222222222222222,0,1,1,0,0,1,Established Savers,0.00591357655856692,Low Risk,0
730,42,4,0.0,2,0,1,85982.47,0,False,True,True,0.0,0.008490003950759373,8.4,0.4,0,0,1,0,0,1,Established Savers,0.024581835627124776,Low Risk,0
515,35,10,176273.95,1,0,1,121277.78,0,False,True,True,1.45346077854675,0.00424641474790561,3.1818181818181817,0.09090909090909091,1,1,0,0,0,0,Young Professionals,0.014021117435698489,Low Risk,0
773,41,9,102827.44,1,0,1,64595.25,0,False,True,True,1.591848443214583,0.01196663893027846,4.1,0.1,0,1,0,0,0,0,Young Professionals,0.016624255871068458,Low Risk,0
814,29,8,97086.4,2,1,1,197276.13,0,True,False,True,0.49213205808498933,0.004126175193242116,3.2222222222222223,0.2222222222222222,0,1,1,0,0,0,Young Professionals,0.0035556369484168898,Low Risk,0
710,22,8,0.0,2,0,0,99645.04,0,False,True,True,0.0,0.00712522043023486,2.4444444444444446,0.2222222222222222,0,1,1,1,0,1,Established Savers,0.005783661420931656,Low Risk,0
413,34,9,0.0,2,0,0,6534.18,0,False,False,True,0.0,0.06319642305185166,3.4,0.2,0,1,1,0,0,1,Established Savers,0.0017026678970192527,Low Risk,0
665,40,6,0.0,1,1,1,161848.03,0,False,False,False,0.0,0.004108767287638363,5.714285714285714,0.14285714285714285,0,1,0,0,0,0,Young Professionals,0.10462830174341682,Low Risk,0
623,44,6,0.0,2,0,0,167162.43,0,False,False,False,0.0,0.003726891701133436,6.285714285714286,0.2857142857142857,0,1,1,0,0,1,Established Savers,0.10711954852322428,Low Risk,0
738,31,9,82674.15,1,1,0,41970.72,0,False,False,True,1.9697584468780405,0.017583267971862958,3.1,0.1,0,1,0,0,0,2,High-Value Clients,0.021203939873558144,Low Risk,0
528,36,7,0.0,2,1,0,60536.56,0,False,True,True,0.0,0.008721857967185992,4.5,0.25,0,1,1,0,0,1,Established Savers,0.007662013158211098,Low Risk,0
670,65,1,0.0,1,1,1,177655.68,1,False,True,False,0.0,0.003771318928170897,32.5,0.5,0,0,0,0,0,3,At-Risk Seniors,0.028122984292910835,Low Risk,0
622,46,4,107073.27,2,1,1,30984.59,1,False,True,False,3.455582740235058,0.020073847230277043,9.2,0.4,0,0,1,0,0,0,Young Professionals,0.443357809381196,Medium Risk,1
582,32,1,88938.62,1,1,1,10054.53,0,True,False,True,8.844747119246822,0.0578786001334589,16.0,0.5,0,0,0,0,0,0,Young Professionals,0.028285567819051876,Low Risk,0
785,36,2,99806.85,1,0,1,36976.52,0,True,False,False,2.6991223316220236,0.021229114337575912,12.0,0.3333333333333333,0,0,0,0,0,0,Young Professionals,0.08225441843627355,Low Risk,0
605,33,5,150092.8,1,0,0,71862.79,0,False,True,True,2.0885733969778104,0.008418704329398714,5.5,0.16666666666666666,0,0,0,0,0,2,High-Value Clients,0.11319026925412418,Low Risk,0
479,35,9,92833.89,1,1,0,99449.86,1,True,False,True,0.9334649293128284,0.004816449048303856,3.5,0.1,0,1,0,0,0,2,High-Value Clients,0.7167562727145781,High Risk,2
685,30,3,90536.81,1,0,1,63082.88,0,True,False,True,1.4351813807267404,0.010858558478013718,7.5,0.25,0,0,0,0,0,0,Young Professionals,0.08956306410792571,Low Risk,0
538,39,7,108055.1,2,1,0,27231.26,0,True,False,True,3.9679079150977556,0.019755980590667098,4.875,0.25,0,1,1,0,0,2,High-Value Clients,0.04277957293220653,Low Risk,0
562,42,2,100238.35,1,0,0,86797.41,0,False,False,True,1.1548408548036768,0.006474772982592653,14.0,0.3333333333333333,0,0,0,0,0,2,High-Value Clients,0.16000614192306886,Low Risk,0
675,36,9,106190.55,1,0,1,22994.32,0,False,True,True,4.617920081129552,0.029353798946916157,3.6,0.1,0,1,0,0,0,0,Young Professionals,0.051326430380691186,Low Risk,0
721,28,9,154475.54,2,0,1,101300.94,1,True,False,True,1.524902089732931,0.007117336548539939,2.8,0.2,1,1,1,0,0,0,Young Professionals,0.7233707426925721,High Risk,2
628,30,9,132351.29,2,1,1,74169.13,0,True,False,False,1.7844284484872819,0.008467020349027297,3.0,0.2,0,1,1,0,0,0,Young Professionals,0.013793320209159354,Low Risk,0
668,37,6,167864.4,1,1,0,115638.29,0,True,False,False,1.4516208115771032,0.005776583374041816,5.285714285714286,0.14285714285714285,1,1,0,0,0,2,High-Value Clients,0.13291502378899783,Low Risk,0
506,41,1,0.0,2,1,0,31766.3,0,False,False,False,0.0,0.015928328816109647,20.5,1.0,0,0,1,0,0,1,Established Savers,0.023733874862688232,Low Risk,0
524,31,8,107818.63,1,1,0,199725.39,1,True,False,False,0.5398316667116448,0.0026235892012067105,3.4444444444444446,0.1111111111111111,1,1,0,0,0,2,High-Value Clients,0.9305762438826132,Very High Risk,3
699,34,4,185173.81,2,1,0,120834.48,0,True,False,True,1.5324456856545776,0.005784724817578414,6.8,0.4,1,0,1,0,0,2,High-Value Clients,0.08571272303658437,Low Risk,0
828,34,8,129433.34,2,0,0,38131.77,0,False,False,True,3.3942810868447273,0.02171360748248816,3.7777777777777777,0.2222222222222222,0,1,1,0,0,2,High-Value Clients,0.009955972334743747,Low Risk,0
674,39,6,120193.42,1,0,0,100130.95,0,False,True,True,1.200350337729366,0.006731118289417114,5.571428571428571,0.14285714285714285,0,1,0,0,0,2,High-Value Clients,0.08387417428815101,Low Risk,0
656,39,6,0.0,2,1,0,141069.88,0,False,False,False,0.0,0.004650144664866342,5.571428571428571,0.2857142857142857,0,1,1,0,0,1,Established Savers,0.06908509327454848,Low Risk,0
684,48,10,126384.42,1,1,1,198129.36,0,True,False,False,0.6378851782230649,0.0034522725341033047,4.363636363636363,0.09090909090909091,1,1,0,0,0,0,Young Professionals,0.14150456118829263,Low Risk,0
625,28,3,0.0,1,0,0,183646.41,0,False,False,False,0.0,0.003403260628614365,7.0,0.25,0,0,0,1,0,2,High-Value Clients,0.07616573523086766,Low Risk,0
432,42,9,152603.45,1,1,0,110265.24,1,False,False,True,1.3839544179614722,0.003917790250216204,4.2,0.1,1,1,0,0,0,2,High-Value Clients,0.8236397384737787,Very High Risk,3
549,52,1,0.0,1,0,1,8636.05,1,False,False,False,0.0,0.06356336943748156,26.0,0.5,0,0,0,0,0,3,At-Risk Seniors,0.9513896057748717,Very High Risk,3
625,56,0,148507.24,1,1,0,46824.08,1,True,False,True,3.171532008060637,0.01334754793798537,56.0,1.0,0,0,0,0,0,2,High-Value Clients,0.9948392442146479,Very High Risk,3
828,41,7,0.0,2,1,0,171378.77,0,False,False,False,0.0,0.004831375371783963,5.125,0.25,0,1,1,0,0,1,Established Savers,0.07179677256388041,Low Risk,0
770,24,9,101827.07,1,1,0,167256.35,0,False,False,True,0.608804755067565,0.0046036840832405865,2.4,0.1,1,1,0,1,0,2,High-Value Clients,0.024235422900151647,Low Risk,0
758,34,3,0.0,2,1,1,124226.16,0,False,False,False,0.0,0.006101725258792039,8.5,0.5,0,0,1,0,0,1,Established Savers,0.011439439351383252,Low Risk,0
795,33,9,130862.43,1,1,1,114935.21,0,True,False,False,1.1385657313739508,0.006916880241657524,3.3,0.1,1,1,0,0,0,0,Young Professionals,0.17001626845436404,Low Risk,0
687,38,9,122570.87,1,1,1,35608.88,0,False,False,True,3.4420467016457232,0.019292398626448617,3.8,0.1,0,1,0,0,0,0,Young Professionals,0.012907044525205493,Low Risk,0
686,25,1,0.0,2,0,1,16459.37,0,False,False,True,0.0,0.04167585540300735,12.5,1.0,0,0,1,0,0,1,Established Savers,0.006051229879232503,Low Risk,0
789,39,7,124828.46,2,1,1,124411.08,0,True,False,True,1.0033467811164318,0.006341827899670193,4.875,0.25,1,1,1,0,0,0,Young Professionals,0.03839553768862101,Low Risk,0
589,50,5,144895.05,2,1,1,34941.23,0,True,False,False,4.146703000924669,0.016856394111079916,8.333333333333334,0.3333333333333333,0,0,1,0,0,3,At-Risk Seniors,0.09280368168826714,Low Risk,0
461,34,5,63663.93,1,0,1,167784.28,0,True,False,False,0.3794369208073557,0.0027475592614560704,5.666666666666667,0.16666666666666666,0,0,0,0,0,0,Young Professionals,0.037383406722653494,Low Risk,0
637,40,2,133463.1,1,0,1,93165.34,0,False,False,True,1.432524879693675,0.006837233275451199,13.333333333333334,0.3333333333333333,0,0,0,0,0,0,Young Professionals,0.047297119695994636,Low Risk,0
584,48,2,213146.2,1,1,0,75161.25,1,False,True,False,2.8358145212523573,0.007769857874132294,16.0,0.3333333333333333,0,0,0,0,0,2,High-Value Clients,0.8197314860109335,Very High Risk,3
579,35,1,129490.36,2,0,1,8590.83,1,False,True,False,15.071336374206659,0.06738960151678978,17.5,1.0,0,0,1,0,0,0,Young Professionals,0.7920341711150851,Very High Risk,3
756,44,10,137452.09,1,1,0,189543.9,0,True,False,True,0.7251690232762791,0.003988500877628467,4.0,0.09090909090909091,1,1,0,0,0,2,High-Value Clients,0.13653164993196604,Low Risk,0
663,34,7,0.0,2,1,1,180427.24,0,False,False,True,0.0,0.0036745910728830477,4.25,0.25,0,1,1,0,0,1,Established Savers,0.005485914823773459,Low Risk,0
682,43,5,125851.93,1,1,1,193318.33,0,False,False,False,0.6510054116161069,0.003527841732122701,7.166666666666667,0.16666666666666666,1,0,0,0,0,0,Young Professionals,0.03474499733266536,Low Risk,0
793,52,2,0.0,1,1,0,159123.82,1,False,True,True,0.0,0.00498350917223347,17.333333333333332,0.3333333333333333,0,0,0,0,0,2,High-Value Clients,0.9232109063905805,Very High Risk,3
